objectid,title,date,date_is_approximate,description,location,latitude,longitude,subject,source,identifier,donor,format_original,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
cities698,"Home of Mr. G. Gibson demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518288,-115.822188,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-09,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities698.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities698.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities698_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities698_th.jpg
cities699,"J. Finnell home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518299,-115.822199,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-11,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities699.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities699.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities699_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities699_th.jpg
cities700,"W.M. Newton home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518301,-115.822103,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-12,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities700.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities700.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities700_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities700_th.jpg
cities702,"B. George home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518311,-115.822111,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-13,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities702.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities702.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities702_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities702_th.jpg
cities704,"B. Barnett home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518322,-115.822122,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-14,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities704.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities704.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities704_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities704_th.jpg
cities705,"B. Brandt home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518333,-115.822133,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-15,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities705.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities705.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities705_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities705_th.jpg
cities706,"Mr. Hubble home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518344,-115.822144,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-16,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities706.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities706.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities706_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities706_th.jpg
cities707,"Cone home and a home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518355,-115.822155,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-17,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities707.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities707.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities707_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities707_th.jpg
cities708,"Ed Weekler home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518366,-115.822166,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-18,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities708.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities708.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities708_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities708_th.jpg
cities709,"Paul Edwards home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518377,-115.822177,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-19,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities709.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities709.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities709_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities709_th.jpg
cities710,"Mr. Cassaway home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518309,-115.822109,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-20,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities710.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities710.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities710_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities710_th.jpg
cities711,"Gene Dunkin home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518308,-115.822108,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-21,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities711.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities711.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities711_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities711_th.jpg
cities712,"Distant view of Orofino, Idaho.",1913,,,Orofino,46.481313,-116.245882,panoramas,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-119-1b,Maurice Snyder,4.25x6.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities712.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities712.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities712_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities712_th.jpg
cities713,"A.L. Laird home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518307,-115.822107,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-22,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities713.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities713.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities713_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities713_th.jpg
cities720,"Kootenai County Track Meet. James Hawkins, Robson, Graf",1914,,"Graf, CHS star springer off with the gun 220 yd. 4th heat winning by fast time 24.4. He holds record. Also the record in the 50, 100, and high jump'",Kootenai County,47.680872,-116.776226,races (events),"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-037-3,,2-3.5x5.5 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities720.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities720.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities720_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities720_th.jpg
cities723,"Schmidt Brothers Lumber Co. log chute. Eileen, Idaho.",1919,,Part of a two mile log chute,Eileen,48.776546,-116.1632,loggers; horses;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-118-1f,,3.5x5.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities723.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities723.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities723_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities723_th.jpg
cities727,"Guess home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518305,-115.822105,avalanches; houses; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-24,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities727.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities727.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities727_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities727_th.jpg
cities728,"View of home demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518306,-115.822106,avalanches; workers; houses,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-23a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities728.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities728.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities728_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities728_th.jpg
cities729,"After the snowslide. Mace, Idaho.",1910,,,Mace,47.518323,-115.822123,avalanches; workers; houses,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-25,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities729.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities729.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities729_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities729_th.jpg
cities732,"Digging out after the snowslide. Mace, Idaho.",1910,,,Mace,47.518211,-115.822111,winter; natural disasters; towns,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-52,Rollin Farmin Estate,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities732.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities732.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities732_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities732_th.jpg
cities733,"Homes demolished by snowslide. Mace, Idaho.",1910,,,Mace,47.518336,-115.822136,houses; natural disasters; towns,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-26,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities733.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities733.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities733_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities733_th.jpg
cities737,"Hecla Mill. Gem, Idaho.",1915,yes,,Gem,44.032519,-116.358776,railroads; mills,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-062-3,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities737.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities737.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities737_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities737_th.jpg
cities742,"Black Bear, Idaho.",1900,yes,,Black Bear,47.518603,-115.835823,aerial photograph; towns; rivers,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-064-4,,5x7 black and white film negative,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities742.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities742.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities742_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities742_th.jpg
cities743,"View of town of Black Bear, Idaho and Black Bear Mine.",1900,yes,,Black Bear,47.516613,-115.844722,aerial photograph; towns;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-064-5,,5x7 black and white film negative,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities743.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities743.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities743_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities743_th.jpg
cities744,"Black Bear, Idaho. Standard Sorting Plant in background.",1900,yes,,Black Bear,47.519148,-115.835551,aerial photograph; towns; mining,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-064-6,,5x7 black and white film negative,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities744.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities744.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities744_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities744_th.jpg
cities746,"Digging out after the snowslide, Pascoe home in the foreground. Mace, Idaho.",1910,,,Mace,47.518348,-115.822148,avalanches; workers; houses,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-061-27,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities746.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities746.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities746_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities746_th.jpg
cities747,"Damage from snowslide. Burke, Idaho.",1910,,,Burke,47.51982,-115.821422,winter; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-065-1a,,4.25x6.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities747.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities747.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities747_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities747_th.jpg
cities748,"Group of people gathered at Hercules Mine after snowslide. Burke, Idaho.",1910,,,Burke,47.542322,-115.813786,mines; winter; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-065-1b,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities748.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities748.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities748_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities748_th.jpg
cities749,"Group of people gathered at Hercules Mine after snowslide. Burke, Idaho.",1910,,,Burke,47.542333,-115.813733,mines; winter; natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-065-1c,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities749.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities749.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities749_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities749_th.jpg
cities750,"Damage from snowslide. Burke, Idaho.",1910,,,Burke,47.51922,-115.821422,natural disasters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-065-1d,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities750.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities750.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities750_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities750_th.jpg
cities751,"Snowslide. Hercules Mine. Burke, Idaho.",1910,,,Burke,47.542322,-115.813722,mines; buildings,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-065-1e,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities751.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities751.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities751_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities751_th.jpg
cities752,"Upper end of Burke, Idaho.",1910,,,Burke,47.522225,-115.813805,panoramas; winter; towns,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-065-1f,Mrs. Harry Marsh,3.25x5.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities752.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities752.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities752_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities752_th.jpg
